Locality_ID,Cluster,Latitude,Longitude,Mean annual temperature,Total annual precipitation,Temperature range,Disturbance,Hemisphere,Continent,Pitfall days,Transect length,Species richness,PIE
Andersen_1997_04,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,24,0.8777533617
Andersen_1997_05,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,30,0.9305730595
Andersen_1997_06,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,22,0.9197181948
Andersen_1997_07,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,10,0.8063204825
Andersen_1997_08,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,2,0.5555555556
Andersen_1997_09,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,5,0.7272727272
Andersen_etal_2003_01,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,39,0.9060465475
Andersen_etal_2003_02,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,24,0.9088967972
Andersen_etal_2003_03,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,28,0.907778496
Andersen_etal_2003_04,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,16,0.8561759731
Andersen_etal_2003_05,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,14,0.6595744681
Andersen_etal_2003_06,17,-24.34,150.61,20.7,695,25.8,Undisturbed,South,Oceania,75,40,36,0.9155167859
Andersen_etal_2003_07,17,-24.34,150.61,20.7,695,25.8,Undisturbed,South,Oceania,75,40,39,0.9373090484
Andersen_etal_2003_08,17,-24.34,150.61,20.7,695,25.8,Undisturbed,South,Oceania,75,40,48,0.9586979234
Andersen_etal_2003_09,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,30,0.922244095
Andersen_etal_2003_10,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,7,0.768831169
Andersen_etal_2003_11,17,-24.34,150.61,20.7,695,25.8,Transformed,South,Oceania,75,40,49,0.9338575913
Andersen_etal_2006_01,32,-12.59,131.09,27.2,1484,18,Disturbed,South,Oceania,90,40,52,0.9410418387
Andersen_etal_2006_02,32,-12.59,131.09,27.2,1484,18,Disturbed,South,Oceania,90,40,54,0.9492086865
Andersen_etal_2006_03,32,-12.59,131.09,27.2,1484,18,Undisturbed,South,Oceania,90,40,31,0.9256322008
